timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-07,28.1600,28.3000,27.3100,27.3600,27.3600,3102279,0.0000,1.0000
2019-03-06,29.0600,29.1550,28.1400,28.2500,28.2500,2466049,0.0000,1.0000
2019-03-05,29.0700,29.3100,28.7600,29.2000,29.2000,1890970,0.0000,1.0000
2019-03-04,29.9100,29.9700,28.7300,29.1600,29.1600,2690930,0.0000,1.0000
2019-03-01,29.6800,30.2000,29.3500,29.6600,29.6600,2187712,0.0000,1.0000
2019-02-28,31.0200,31.0200,29.3300,29.5000,29.5000,3660477,0.0000,1.0000
2019-02-27,31.0700,31.4500,30.7900,30.9800,30.9800,2880061,0.0000,1.0000
2019-02-26,30.7000,31.2700,30.4800,30.8500,30.8500,3723632,0.0000,1.0000
2019-02-25,30.4700,30.8700,30.3900,30.7800,30.7800,3937574,0.0000,1.0000
2019-02-22,29.8800,30.4800,29.3600,30.1700,30.1700,3197583,0.0000,1.0000
2019-02-21,29.2000,29.9000,29.1300,29.5800,29.5800,3983927,0.0000,1.0000
2019-02-20,28.3900,29.5950,28.3401,29.2400,29.2400,6520035,0.0000,1.0000
2019-02-19,28.2100,28.4000,28.1000,28.2100,28.2100,3029489,0.0000,1.0000
2019-02-15,28.7100,28.9300,28.2000,28.2700,28.2700,3407760,0.0000,1.0000
2019-02-14,28.7300,28.7500,28.1500,28.2000,28.2000,3196631,0.0000,1.0000
2019-02-13,28.8100,29.5500,28.7000,29.0500,29.0500,4566949,0.0000,1.0000
2019-02-12,28.3300,28.6900,27.9500,28.4000,28.4000,3021652,0.0000,1.0000
2019-02-11,27.5500,28.1200,27.2600,27.9700,27.9700,3448110,0.0000,1.0000
2019-02-08,27.1200,27.6800,26.5100,27.6500,27.6500,4784908,0.0000,1.0000
2019-02-07,28.3800,28.4900,27.0616,27.2900,27.2900,4955683,0.0000,1.0000
2019-02-06,29.0100,29.3000,28.5100,28.5500,28.5500,2923711,0.0000,1.0000
2019-02-05,29.0000,29.4969,28.9100,29.0700,29.0700,2749654,0.0000,1.0000
2019-02-04,28.4300,29.1900,28.3510,29.0900,29.0900,2337192,0.0000,1.0000
2019-02-01,29.7000,30.0699,28.2700,28.6000,28.6000,5042238,0.0000,1.0000
2019-01-31,29.2800,30.2650,29.1500,29.6800,29.6800,6466866,0.0000,1.0000
2019-01-30,29.1000,29.8200,28.6700,29.5900,29.5900,6502712,0.0000,1.0000
2019-01-29,28.2700,29.5650,28.1625,28.7500,28.7500,3566031,0.0000,1.0000
2019-01-28,28.7400,28.8300,27.8100,27.9800,27.9800,3538096,0.0000,1.0000
2019-01-25,28.4200,29.5150,28.1600,29.0200,29.0200,6607687,0.0000,1.0000
2019-01-24,28.1500,28.5300,27.6599,27.9600,27.9600,3021970,0.0000,1.0000
2019-01-23,28.1500,28.6600,27.8450,28.3000,28.3000,4392910,0.0000,1.0000
2019-01-22,29.0000,29.0000,27.5300,27.8100,27.8100,5027047,0.0000,1.0000
2019-01-18,29.9200,30.1000,29.1000,29.2700,29.2700,6601167,0.0000,1.0000
2019-01-17,28.2100,30.2800,27.5100,29.5900,29.5900,12073084,0.0000,1.0000
2019-01-16,29.1900,29.3300,28.1600,28.9800,28.9800,9242882,0.0000,1.0000
2019-01-15,28.9400,29.4700,28.5867,28.9000,28.9000,3770926,0.0000,1.0000
2019-01-14,29.0600,29.1700,27.8900,28.7900,28.7900,4035562,0.0000,1.0000
2019-01-11,28.7200,28.8800,27.9600,28.5500,28.5500,3838416,0.0000,1.0000
2019-01-10,28.6900,29.0100,28.4800,28.9800,28.9800,2351574,0.0000,1.0000
2019-01-09,28.6000,29.2800,28.2400,29.1000,29.1000,2372468,0.0000,1.0000
2019-01-08,28.7300,28.8467,27.6500,28.2500,28.2500,2218300,0.0000,1.0000
2019-01-07,28.5300,28.9100,28.1456,28.4200,28.4200,2440950,0.0000,1.0000
2019-01-04,26.8400,28.6100,26.6500,28.3400,28.3400,5653659,0.0000,1.0000
2019-01-03,26.1200,26.8500,25.5300,26.2400,26.2400,2979941,0.0000,1.0000
